1,0,.188,16,1
2,0,.189,16,1
3,0,.186,16,1
4,0,.191,16,1
5,0,.188,16,1
6,0,.187,16,1
7,0,.190,16,1
8,0,.204,16,1
9,0,.210,16,1
10,0,.205,16,1
11,0,.195,16,1
12,0,.192,16,1
13,0,.197,16,1
14,0,.202,16,1
15,0,.192,16,1
16,0,.195,16,1
17,0,.364,16,1
18,0,.366,16,1
19,0,.367,16,1
20,0,.365,16,1
21,0,.365,16,1
22,0,.373,16,1
23,0,.369,16,1
24,0,.368,16,1
25,0,.370,16,1
26,0,.377,16,1
27,0,.375,16,1
28,0,.372,16,1
29,0,.372,16,1
30,0,.371,16,1
31,0,.388,16,1
32,0,.375,16,1
33,0,.538,16,1
34,0,.544,16,1
35,0,.548,16,1
36,0,.546,16,1
37,0,.551,16,1
38,0,.549,16,1
39,0,.552,16,1
40,0,.551,16,1
41,0,.556,16,1
42,0,.559,16,1
43,0,.549,16,1
44,0,.555,16,1
45,0,.558,16,1
46,0,.554,16,1
47,0,.570,16,1
48,0,.575,16,1
1,5,1.278,16,1
2,5,1.290,16,1
3,5,1.295,16,1
4,5,1.305,16,1
5,5,1.304,16,1
6,5,1.311,16,1
7,5,1.318,16,1
8,5,1.328,16,1
9,5,1.334,16,1
10,5,1.353,16,1
11,5,1.350,16,1
12,5,1.381,16,1
13,5,1.391,16,1
14,5,1.419,16,1
15,5,1.430,16,1
16,5,1.440,16,1
17,5,2.566,16,1
18,5,2.585,16,1
19,5,2.618,16,1
20,5,2.698,16,1
21,5,2.735,16,1
22,5,2.774,16,1
23,5,2.781,16,1
24,5,2.834,16,1
25,5,2.838,16,1
26,5,2.856,16,1
27,5,2.865,16,1
28,5,3.000,16,1
29,5,2.922,16,1
30,5,2.975,16,1
31,5,2.996,16,1
32,5,3.022,16,1
33,5,4.010,16,1
34,5,4.018,16,1
35,5,4.081,16,1
36,5,4.179,16,1
37,5,4.238,16,1
38,5,4.238,16,1
39,5,4.301,16,1
40,5,4.191,16,1
41,5,4.381,16,1
42,5,4.451,16,1
43,5,4.532,16,1
44,5,4.596,16,1
45,5,4.602,16,1
46,5,4.632,16,1
47,5,4.652,16,1
48,5,4.726,16,1
1,10,2.388,16,1
2,10,2.428,16,1
3,10,2.419,16,1
4,10,2.439,16,1
5,10,2.436,16,1
6,10,2.454,16,1
7,10,2.461,16,1
8,10,2.480,16,1
9,10,2.489,16,1
10,10,2.505,16,1
11,10,2.501,16,1
12,10,2.549,16,1
13,10,2.557,16,1
14,10,2.588,16,1
15,10,2.610,16,1
16,10,2.634,16,1
17,10,4.861,16,1
18,10,4.915,16,1
19,10,4.964,16,1
20,10,5.013,16,1
21,10,5.067,16,1
22,10,5.172,16,1
23,10,5.160,16,1
24,10,5.276,16,1
25,10,5.234,16,1
26,10,5.242,16,1
27,10,5.298,16,1
28,10,5.342,16,1
